Transfer Function,Average Accuracy,Maximum Accuracy,Minimum Accuracy,Average Processing Time,Average Number of Selected Features
s_shaped_1,0.9640350877192982,0.9736842105263158,0.956140350877193,290.09510416984557,21.0
s_shaped_2,0.9482456140350877,0.9736842105263158,0.5701754385964912,244.6297333876292,18.066666666666666
s_shaped_3,0.9669590643274854,0.9912280701754386,0.9385964912280702,240.3129776398341,16.2
s_shaped_4,0.9640350877192982,0.9824561403508772,0.9473684210526316,226.82520775794984,16.233333333333334
time_varying_s1,0.9634502923976609,0.9824561403508772,0.9473684210526316,273.3199751297633,17.366666666666667
time_varying_s2,0.9450292397660819,0.9912280701754386,0.6842105263157895,213.15672505696614,14.766666666666667
time_varying_s3,0.9625730994152046,0.9824561403508772,0.956140350877193,197.34814381599426,16.233333333333334
time_varying_s4,0.9625730994152046,0.9824561403508772,0.956140350877193,269.52974621454877,16.7
time_varying_v1,0.8915204678362573,0.9824561403508772,0.6578947368421053,269.974373014768,2.4
time_varying_v2,0.8710526315789474,0.9736842105263158,0.5877192982456141,254.3474511941274,2.466666666666667
time_varying_v3,0.8944444444444444,0.9649122807017544,0.6403508771929824,268.7314917802811,2.433333333333333
time_varying_v4,0.904093567251462,0.9736842105263158,0.7192982456140351,290.63351368109386,2.6
v_shaped_1,0.8783625730994152,0.9736842105263158,0.5877192982456141,210.97258582909902,3.3333333333333335
v_shaped_2,0.8409356725146199,0.9824561403508772,0.6228070175438597,195.81794087886811,2.033333333333333
v_shaped_3,0.8687134502923978,0.9824561403508772,0.6052631578947368,248.04454709688824,3.033333333333333
v_shaped_4,0.8961988304093568,0.9824561403508772,0.6403508771929824,234.92992899417877,2.6666666666666665
